"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    Verify QR code creation for website and menu links:
    - Create QR code using specified method
    - Complete sign up process
    - Download PDF with different resolutions
    ","0","Test website QR creation with website_qr_create and resolution A2","tests.tests_dpf_flow.dpf_link_cff_flow","Sat Jan 04 02:17:17 GMT 2025","broken","Sat Jan 04 02:17:17 GMT 2025","TestCFFSignUpFlowPdf","test_cff_sign_up_pdf_download_from_welcome_modal","",""
"","0","test_dpf_sign_up_qr_type[-512x512-links_qr_create]","tests.tests_dpf_flow.dpf_link_dpf_flow","Sat Jan 04 02:10:46 GMT 2025","broken","Sat Jan 04 02:10:46 GMT 2025","TestDPFSignUpFlowJpeg","test_dpf_sign_up_jpeg_download_from_welcome_modal","",""
"","0","test_dpf_sign_up_qr_type[-2048x2048-instagram_qr_create]","tests.tests_dpf_flow.dpf_link_dpf_flow","Sat Jan 04 02:13:30 GMT 2025","broken","Sat Jan 04 02:13:30 GMT 2025","TestDPFSignUpFlowJpeg","test_dpf_sign_up_jpeg_download_from_welcome_modal","",""
"","0","test_dpf_sign_up_qr_type[-1024x1024-apps_qr_create]","tests.tests_dpf_flow.dpf_link_dpf_flow","Sat Jan 04 02:12:12 GMT 2025","broken","Sat Jan 04 02:12:12 GMT 2025","TestDPFSignUpFlowJpeg","test_dpf_sign_up_jpeg_download_from_welcome_modal","",""
"","0","test_dpf_sign_up_qr_type[-Default-pdf_qr_create]","tests.tests_dpf_flow.dpf_link_dpf_flow","Sat Jan 04 02:08:07 GMT 2025","broken","Sat Jan 04 02:08:07 GMT 2025","TestDPFSignUpFlowJpeg","test_dpf_sign_up_jpeg_download_from_welcome_modal","",""
"Test creating QR code with different methods and downloading as PNG","38152","Create pdf_qr_create QR code with 512x512 PNG download","tests.tests_default_flow","Sat Jan 04 02:04:48 GMT 2025","passed","Sat Jan 04 02:05:26 GMT 2025","TestDefaultSignUpFlowPng","test_default_sign_up_png_download_welcome_modal","",""
"","0","test_dpf_sign_up_qr_type[-Default-menu_pdf_qr_create]","tests.tests_dpf_flow.dpf_link_dpf_flow","Sat Jan 04 02:07:26 GMT 2025","broken","Sat Jan 04 02:07:26 GMT 2025","TestDPFSignUpFlowJpeg","test_dpf_sign_up_jpeg_download_from_welcome_modal","",""
"Verify QR code creation and PDF download functionality with different creation methods and resolutions","0","Test CFF sign up with social_media_qr_create and resolution A1","tests.tests_dpf_flow.dpf_link_cff_flow","Sat Jan 04 02:13:12 GMT 2025","broken","Sat Jan 04 02:13:12 GMT 2025","TestCFFSignUpFlowPdf","test_cff_sign_up_pdf_download_from_welcome_modal","",""
"
        Test verifies the sign-up flow with different QR code types:
        1. Creates QR code with specified method
        2. Completes all required steps
        3. Verifies email submission
        4. Checks successful sign-up
        5. Downloads QR code in SVG format
    ","0","Sign up flow test for video_qr_create with 512x512 resolution","tests.tests_nsf_flow","Sat Jan 04 01:57:29 GMT 2025","broken","Sat Jan 04 01:57:29 GMT 2025","TestNSFSignUpFlowSvg","test_nsf_sign_up_svg_download_welcome_modal","",""
"
    Verify QR code creation for website and menu links:
    - Create QR code using specified method
    - Complete sign up process
    - Download PDF with different resolutions
    ","0","Test website QR creation with website_qr_create and resolution A3","tests.tests_dpf_flow.dpf_link_cff_flow","Sat Jan 04 02:17:09 GMT 2025","broken","Sat Jan 04 02:17:09 GMT 2025","TestCFFSignUpFlowPdf","test_cff_sign_up_pdf_download_from_welcome_modal","",""
"","30356","test_default_sign_up_website_qr_type[-1024x1024-website_qr_create]","tests.tests_default_flow","Sat Jan 04 02:13:41 GMT 2025","passed","Sat Jan 04 02:14:12 GMT 2025","TestDefaultSignUpFlowPng","test_default_sign_up_png_download_welcome_modal","",""
